Ports,Region,Cntr Cycle Name,Cntr No,Cntr Size,cntr_trxn_id,Dpd Dpe,In Time,Is Empty,Max,orgname,Out Time,Transportmode
APSEZ,Western,EXPORT,AMFU8848630,40,,,22/8/2020 09:23,,26848430,Mundra International Container Terminal (MICT),26/8/2020 00:03,RAIL
JNPT,Western,EXPORT,CAXU3336965,20,,N,18/8/2020 00:57,,26848697,Bharat Mumbai Container Terminals(PSA),18/8/2020 09:02,RAIL
Kattupalli Port,Southern,IMPORT,TCNU8159972,40,,Y,13/7/2020 12:08,,26938079,Kattupalli International Container Terminal (KICT),4/8/2020 21:44,TRUCK
APSEZ,Western,EXPORT,BSIU2755940,20,,,20/8/2020 11:34,,26949623,Mundra International Container Terminal (MICT),25/8/2020 23:05,RAIL
APSEZ,Western,EXPORT,HASU4471324,40,,,8/8/2020 16:30,,26994577,Mundra International Container Terminal (MICT),12/8/2020 15:43,TRUCK
Kattupalli Port,Southern,EXPORT,MXCU0015570,20,,Y,27/7/2020 00:02,,26997659,Kattupalli International Container Terminal (KICT),29/7/2020 22:53,VESSEL
APSEZ,Western,EXPORT,SUDU7638444,20,,,2/8/2020 15:03,,27001586,Adani CMA Mundra Terminal (ACMTPL),5/8/2020 02:24,TRUCK
JNPT,Western,EXPORT,PCIU3526508,20,,N,15/8/2020 22:41,,27001821,Nhava Sheva India Gateway Terminal (NSIGT),20/8/2020 13:05,RAIL
APSEZ,Western,EXPORT,TCKU2155023,20,,,17/8/2020 16:56,,27073733,Mundra International Container Terminal (MICT),20/8/2020 12:08,RAIL
APSEZ,Western,EXPORT,INKU6620401,40,,,30/7/2020 04:44,,27139169,Adani International Container Terminal (AICTPL),9/8/2020 19:30,RAIL
APSEZ,Western,EXPORT,MEDU8243144,40,,,24/7/2020 15:38,,27139173,Adani International Container Terminal (AICTPL),9/8/2020 17:41,RAIL
APSEZ,Western,EXPORT,MIEU3033228,40,,,9/8/2020 14:30,,27150289,Mundra International Container Terminal (MICT),12/8/2020 14:52,TRUCK
APSEZ,Western,EXPORT,GESU3004920,20,,,6/8/2020 23:38,,27156727,Adani Mundra Container Terminal (AMCT),13/8/2020 07:07,RAIL
APSEZ,Western,EXPORT,CMAU5706139,40,,,28/7/2020 13:11,,27161855,Adani CMA Mundra Terminal (ACMTPL),9/8/2020 01:21,TRUCK
JNPT,Western,EXPORT,FSCU7547431,20,,N,3/8/2020 04:50,,27202392,Bharat Mumbai Container Terminals(PSA),4/8/2020 23:53,RAIL
JNPT,Western,EXPORT,FSCU7547431,20,,N,3/8/2020 06:26,,27202392,Nhava Sheva International Container Terminal (NSICT),3/8/2020 10:10,RAIL
"NCT, Krishnapatnam",Southern,EXPORT,GESU3613757,20,,,26/7/2020 16:27,,27207307,Navayuga Container Terminal (NCT),29/7/2020 04:32,TRUCK
APSEZ,Western,EXPORT,CXDU1145951,20,,,25/7/2020 01:11,,27234871,Adani Mundra Container Terminal (AMCT),14/8/2020 09:01,TRUCK
JNPT,Western,EXPORT,XINU1074117,20,,Y,26/7/2020 00:30,,27242201,Nhava Sheva International Container Terminal (NSICT),29/7/2020 05:38,TRUCK
APSEZ,Western,EXPORT,ZMOU8846080,40,,,23/7/2020 03:47,,34646285,Adani International Container Terminal (AICTPL),27/7/2020 01:54,TRUCK
APSEZ,Western,IMPORT,ZMOU8846156,40,35309531,,15/8/2020 04:43,,,Adani Mundra Container Terminal (AMCT),15/8/2020 07:31,TRUCK
"ICTT, Kochi",Southern,EXPORT,ZMOU8846520,40,,Y,21/8/2020 14:35,,35500608,"International Container Transhipment Terminal, Kochi",24/8/2020 03:44,TRUCK
"ICTT, Kochi",Southern,IMPORT,ZMOU8846520,40,,N,10/8/2020 20:56,Y,35174326,"International Container Transhipment Terminal, Kochi",11/8/2020 09:51,TRUCK
JNPT,Western,EXPORT,ZMOU8846916,40,,N,12/8/2020 20:20,N,35236881,Nhava Sheva International Container Terminal (NSICT),14/8/2020 10:46,TRUCK
APSEZ,Western,IMPORT,ZMOU8847574,40,35288629,,14/8/2020 14:43,,,Adani Mundra Container Terminal (AMCT),19/8/2020 15:30,TRUCK
JNPT,Western,IMPORT,ZMOU8847698,40,,N,25/7/2020 23:20,Y,34778815,Gateway Terminals India (GTI),27/7/2020 10:09,TRUCK
JNPT,Western,EXPORT,ZMOU8847846,40,,N,7/8/2020 00:41,,35047132,Gateway Terminals India (GTI),12/8/2020 15:44,RAIL
JNPT,Western,IMPORT,ZMOU8848307,40,,,8/8/2020 17:48,Y,35117978,Jawaharlal Nehru Port Container Terminal (JNPCT),11/8/2020 09:35,TRUCK
APSEZ,Western,IMPORT,ZMOU8848333,40,35313819,,15/8/2020 08:20,,,Adani Mundra Container Terminal (AMCT),19/8/2020 18:36,TRUCK
JNPT,Western,IMPORT,ZMOU8848499,40,,N,28/7/2020 09:50,N,34809515,Gateway Terminals India (GTI),29/7/2020 12:57,TRUCK
